
 Uniaxial Tension 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =       5581 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
         1          0    0    1             30.000       15.000        0.000
         2          0    0    1             29.500       15.000        0.000
         3          0    0    1             29.000       15.000        0.000
         4          0    0    1             28.500       15.000        0.000
         5          0    0    1             28.000       15.000        0.000
         6          0    0    1             27.500       15.000        0.000
         7          0    0    1             27.000       15.000        0.000
         8          0    0    1             26.500       15.000        0.000
         9          0    0    1             26.000       15.000        0.000
        10          0    0    1             25.500       15.000        0.000
        11          0    0    1             25.000       15.000        0.000
        12          0    0    1             24.500       15.000        0.000
        13          0    0    1             24.000       15.000        0.000
        14          0    0    1             23.500       15.000        0.000
        15          0    0    1             23.000       15.000        0.000
        16          0    0    1             22.500       15.000        0.000
        17          0    0    1             22.000       15.000        0.000
        18          0    0    1             21.500       15.000        0.000
        19          0    0    1             21.000       15.000        0.000
        20          0    0    1             20.500       15.000        0.000
        21          0    0    1             20.000       15.000        0.000
        22          0    0    1             19.500       15.000        0.000
        23          0    0    1             19.000       15.000        0.000
        24          0    0    1             18.500       15.000        0.000
        25          0    0    1             18.000       15.000        0.000
        26          0    0    1             17.500       15.000        0.000
        27          0    0    1             17.000       15.000        0.000
        28          0    0    1             16.500       15.000        0.000
        29          0    0    1             16.000       15.000        0.000
        30          0    0    1             15.500       15.000        0.000
        31          0    0    1             15.000       15.000        0.000
        32          0    0    1             30.000       14.500        0.000
        33          0    0    1             29.500       14.500        0.000
        34          0    0    1             29.000       14.500        0.000
        35          0    0    1             28.500       14.500        0.000
        36          0    0    1             28.000       14.500        0.000
        37          0    0    1             27.500       14.500        0.000
        38          0    0    1             27.000       14.500        0.000
        39          0    0    1             26.500       14.500        0.000
        40          0    0    1             26.000       14.500        0.000
        41          0    0    1             25.500       14.500        0.000
        42          0    0    1             25.000       14.500        0.000
        43          0    0    1             24.500       14.500        0.000
        44          0    0    1             24.000       14.500        0.000
        45          0    0    1             23.500       14.500        0.000
        46          0    0    1             23.000       14.500        0.000
        47          0    0    1             22.500       14.500        0.000
        48          0    0    1             22.000       14.500        0.000
        49          0    0    1             21.500       14.500        0.000
        50          0    0    1             21.000       14.500        0.000
        51          0    0    1             20.500       14.500        0.000
        52          0    0    1             20.000       14.500        0.000
        53          0    0    1             19.500       14.500        0.000
        54          0    0    1             19.000       14.500        0.000
