
 PoreSC 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        713 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
         1          0    0    1              0.191        0.462        0.000
         2          0    0    1              0.215        0.451        0.000
         3          0    0    1              0.227        0.446        0.000
         4          0    0    1              0.179        0.467        0.000
         5          0    0    1              0.203        0.457        0.000
         6          0    0    1              0.196        0.474        0.000
         7          0    0    1              0.221        0.466        0.000
         8          0    0    1              0.239        0.439        0.000
         9          0    0    1              0.233        0.460        0.000
        10          0    0    1              0.167        0.471        0.000
        11          0    0    1              0.185        0.479        0.000
        12          0    0    1              0.208        0.471        0.000
        13          0    0    1              0.199        0.484        0.000
        14          0    0    1              0.227        0.480        0.000
        15          0    0    1              0.142        0.479        0.000
        16          0    0    1              0.283        0.412        0.000
        17          0    0    1              0.078        0.494        0.000
        18          0    0    1              0.104        0.489        0.000
        19          0    0    1              0.250        0.433        0.000
        20          0    0    1              0.245        0.454        0.000
        21          0    0    1              0.239        0.474        0.000
        22          0    0    1              0.155        0.476        0.000
        23          0    0    1              0.173        0.485        0.000
        24          0    0    1              0.192        0.491        0.000
        25          0    0    1              0.212        0.487        0.000
        26          0    0    1              0.234        0.494        0.000
        27          0    0    1              0.129        0.483        0.000
        28          0    0    1              0.147        0.495        0.000
        29          0    0    1              0.272        0.419        0.000
        30          0    0    1              0.294        0.405        0.000
        31          0    0    1              0.292        0.425        0.000
        32          0    0    1              0.091        0.492        0.000
        33          0    0    1              0.065        0.496        0.000
        34          0    0    1              0.085        0.509        0.000
        35          0    0    1              0.117        0.486        0.000
        36          0    0    1              0.110        0.503        0.000
        37          0    0    1              0.261        0.426        0.000
        38          0    0    1              0.257        0.447        0.000
        39          0    0    1              0.252        0.468        0.000
        40          0    0    1              0.246        0.488        0.000
        41          0    0    1              0.161        0.490        0.000
        42          0    0    1              0.240        0.503        0.000
        43          0    0    1              0.181        0.498        0.000
        44          0    0    1              0.202        0.502        0.000
        45          0    0    1              0.224        0.502        0.000
        46          0    0    1              0.134        0.499        0.000
        47          0    0    1              0.155        0.512        0.000
        48          0    0    1              0.281        0.433        0.000
        49          0    0    1              0.344        0.363        0.000
        50          0    0    1              0.325        0.380        0.000
        51          0    0    1              0.304        0.397        0.000
        52          0    0    1              0.304        0.417        0.000
        53          0    0    1              0.302        0.438        0.000
        54          0    0    1              0.095        0.505        0.000
        55          0    0    1              0.052        0.497        0.000
        56          0    0    1              0.073        0.513        0.000
        57          0    0    1              0.092        0.525        0.000
        58          1    0    1              0.000        0.500        0.000
        59          0    0    1              0.121        0.502        0.000
        60          0    0    1              0.111        0.515        0.000
        61          0    0    1              0.269        0.440        0.000
        62          0    0    1              0.265        0.462        0.000
        63          0    0    1              0.259        0.483        0.000
        64          0    0    1              0.250        0.502        0.000
        65          0    0    1              0.168        0.505        0.000
        66          0    0    1              0.236        0.512        0.000
        67          0    0    1              0.191        0.513        0.000
        68          0    0    1              0.214        0.515        0.000
        69          0    0    1              0.141        0.518        0.000
        70          0    0    1              0.164        0.530        0.000
        71          0    0    1              0.290        0.447        0.000
        72          0    0    1              0.354        0.354        0.000
        73          0    0    1              0.335        0.372        0.000
