
 JOB1 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        133 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
         1          0    0    1             45.000       15.000        0.000
         2          0    0    1             45.000       25.000        0.000
         3          0    0    1             20.000       25.000        0.000
         4          1    1    1             20.000      -25.000        0.000
         5          1    1    1             45.000      -25.000        0.000
         6          0    0    1             45.000      -15.000        0.000
         7          0    0    1             30.000      -15.000        0.000
         8          0    0    1             30.000       15.000        0.000
         9          0    0    1             45.000       20.000        0.000
        10          0    0    1             40.000       25.000        0.000
        11          0    0    1             35.000       25.000        0.000
        12          0    0    1             30.000       25.000        0.000
        13          0    0    1             25.000       25.000        0.000
        14          0    0    1             20.000       20.000        0.000
        15          0    0    1             20.000       15.000        0.000
        16          0    0    1             20.000       10.000        0.000
        17          0    0    1             20.000        5.000        0.000
        18          0    0    1             20.000        0.000        0.000
        19          0    0    1             20.000       -5.000        0.000
        20          0    0    1             20.000      -10.000        0.000
        21          0    0    1             20.000      -15.000        0.000
        22          0    0    1             20.000      -20.000        0.000
        23          1    1    1             25.000      -25.000        0.000
        24          1    1    1             30.000      -25.000        0.000
        25          1    1    1             35.000      -25.000        0.000
        26          1    1    1             40.000      -25.000        0.000
        27          0    0    1             45.000      -20.000        0.000
        28          0    0    1             40.000      -15.000        0.000
        29          0    0    1             35.000      -15.000        0.000
        30          0    0    1             30.000      -10.000        0.000
        31          0    0    1             30.000       -5.000        0.000
        32          0    0    1             30.000        0.000        0.000
        33          0    0    1             30.000        5.000        0.000
        34          0    0    1             30.000       10.000        0.000
        35          0    0    1             35.000       15.000        0.000
        36          0    0    1             40.000       15.000        0.000
        37          0    0    1             35.000       19.996        0.000
        38          0    0    1             24.997       19.994        0.000
        39          0    0    1             35.001      -20.000        0.000
        40          0    0    1             29.998       19.996        0.000
        41          0    0    1             24.997       14.994        0.000
        42          0    0    1             25.001        9.997        0.000
        43          0    0    1             25.007       -0.004        0.000
        44          0    0    1             25.005       -5.001        0.000
        45          0    0    1             25.003      -10.000        0.000
        46          0    0    1             25.004      -15.001        0.000
        47          0    0    1             30.005      -20.002        0.000
        48          0    0    1             25.002        4.999        0.000
        49          0    0    1             40.001       19.996        0.000
        50          0    0    1             40.002      -19.997        0.000
        51          0    0    1             25.005      -20.001        0.000
        52          0    0    1             40.000       17.498        0.000
        53          0    0    1             42.500       15.000        0.000
        54          0    0    1             45.000       17.500        0.000
        55          0    0    1             42.500       19.998        0.000
        56          0    0    1             35.000       22.498        0.000
        57          0    0    1             32.500       25.000        0.000
        58          0    0    1             29.999       22.498        0.000
        59          0    0    1             32.499       19.996        0.000
        60          0    0    1             22.499       19.997        0.000
        61          0    0    1             24.999       22.497        0.000
        62          0    0    1             22.500       25.000        0.000
        63          0    0    1             20.000       22.500        0.000
        64          0    0    1             22.498       14.997        0.000
        65          0    0    1             20.000       12.500        0.000
        66          0    0    1             22.500        9.998        0.000
        67          0    0    1             24.999       12.496        0.000
        68          0    0    1             30.002      -22.501        0.000
        69          0    0    1             27.505      -20.001        0.000
        70          0    0    1             25.002      -22.501        0.000
        71          1    1    1             27.500      -25.000        0.000
        72          0    0    1             35.001      -22.500        0.000
        73          1    1    1             37.500      -25.000        0.000
        74          0    0    1             40.001      -22.499        0.000
        75          0    0    1             37.502      -19.999        0.000
        76          0    0    1             42.500       25.000        0.000
        77          0    0    1             40.000       22.498        0.000
        78          0    0    1             45.000       22.500        0.000
        79          0    0    1             27.498       19.995        0.000
        80          0    0    1             27.500       25.000        0.000
        81          0    0    1             24.997       17.494        0.000
        82          0    0    1             20.000       17.500        0.000
        83          0    0    1             30.000        2.500        0.000
        84          0    0    1             27.501        4.999        0.000
        85          0    0    1             25.005        2.497        0.000
        86          0    0    1             27.504       -0.002        0.000
        87          0    0    1             25.006       -2.503        0.000
        88          0    0    1             27.502       -5.001        0.000
        89          0    0    1             30.000       -2.500        0.000
        90          0    0    1             22.502       -5.001        0.000
        91          0    0    1             22.504       -0.002        0.000
        92          0    0    1             20.000       -2.500        0.000
        93          0    0    1             25.004       -7.501        0.000
        94          0    0    1             27.501      -10.000        0.000
        95          0    0    1             30.000       -7.500        0.000
        96          0    0    1             22.501      -10.000        0.000
        97          0    0    1             20.000       -7.500        0.000
        98          0    0    1             22.502      -15.001        0.000
        99          0    0    1             25.004      -12.501        0.000
